MERC,XOM,BHP,ORCL,WMT,PEP,V,LVS,CI,COP,URI,TMUS,MRO,SLB,AVGO,CHV,MMM,MSFT,META,BOE
$12.12 ,$103.54 ,$63.98 ,$79.86 ,$145.31 ,$183.10 ,$208.70 ,$47.31 ,$332.12 ,$110.02 ,$352.63 ,$141.57 ,$26.17 ,$46.97 ,$544.72 ,$168 ,$125.76 ,$245.42 ,$115.90 ,$179.54 
$12.14 ,$104.42 ,$63.47 ,$80.07 ,$148.78 ,$183.78 ,$209.10 ,$48.31 ,$333.50 ,$112.60 ,$361.64 ,$143.81 ,$26.84 ,$49.92 ,$531.08 ,$173.54 ,$126 ,$247.40 ,$115.33 ,$179.08 
$13.57 ,$103.65 ,$62.45 ,$78.78 ,$149.11 ,$182.18 ,$207.81 ,$47.13 ,$332.19 ,$114.88 ,$351.52 ,$148.79 ,$27.41 ,$49.80 ,$518.50 ,$172.52 ,$126.35 ,$244.37 ,$113.93 ,$176.50 
$13.55 ,$103.88 ,$62.74 ,$78.91 ,$149.89 ,$181.63 ,$209.08 ,$46.80 ,$329.64 ,$115.61 ,$347.29 ,$149.39 ,$27.45 ,$50.88 ,$525.82 ,$172.01 ,$124.58 ,$245.12 ,$114.12 ,$178.43 
$13.71 ,$106.85 ,$62.48 ,$79.43 ,$151.65 ,$183.12 ,$213.68 ,$47.70 ,$327.39 ,$119.37 ,$345.67 ,$150.62 ,$28.52 ,$51.38 ,$530.64 ,$176.56 ,$124.63 ,$250.20 ,$122.43 ,$185.10 
$13.78 ,$109.86 ,$63.43 ,$83.35 ,$153.22 ,$185.69 ,$217.66 ,$47.96 ,$327.20 ,$122.18 ,$356.57 ,$152.41 ,$29.74 ,$52.79 ,$540.80 ,$181.03 ,$126.99 ,$255.02 ,$123.49 ,$182.87 
$13.64 ,$110.80 ,$63.02 ,$84.11 ,$153.37 ,$185.90 ,$217 ,$46.89 ,$323.45 ,$123.06 ,$356.42 ,$151.81 ,$30.09 ,$51.76 ,$550.75 ,$182.49 ,$125.99 ,$254.69 ,$120.44 ,$175.78 
$13.80 ,$111.34 ,$62.80 ,$83.03 ,$152.42 ,$185.51 ,$217 ,$46.84 ,$328.89 ,$123.51 ,$353.03 ,$151.46 ,$30.63 ,$51.55 ,$551.03 ,$183.31 ,$125.97 ,$255.14 ,$118.10 ,$178.88 
$14 ,$110.54 ,$60.81 ,$80.85 ,$152.97 ,$182.59 ,$209.06 ,$44.66 ,$320.70 ,$124.25 ,$342.73 ,$148.62 ,$30.35 ,$51.05 ,$521.39 ,$181.03 ,$126.13 ,$240.33 ,$109.46 ,$175.32 
$13.78 ,$109.81 ,$58.98 ,$81.39 ,$153.51 ,$183.89 ,$211.26 ,$43.65 ,$319.51 ,$123.84 ,$347.59 ,$149.90 ,$29.81 ,$49.88 ,$522.21 ,$178.36 ,$124.64 ,$241.76 ,$108.78 ,$171.83 
$14.10 ,$113.21 ,$59.68 ,$82.72 ,$153.07 ,$184.11 ,$213.79 ,$43.17 ,$323.90 ,$126.81 ,$359.03 ,$151.05 ,$30.38 ,$50.83 ,$529.91 ,$183.70 ,$129.04 ,$247.49 ,$111.41 ,$178.36 
$14.05 ,$113.61 ,$60.04 ,$82.56 ,$152.42 ,$185.08 ,$211.73 ,$43.06 ,$319.84 ,$126.74 ,$358.44 ,$150.12 ,$30.65 ,$51.42 ,$533.64 ,$184.24 ,$128 ,$247.58 ,$112.24 ,$174.85 
$13.92 ,$114.18 ,$58.75 ,$82.12 ,$151.69 ,$184.84 ,$210.33 ,$42.69 ,$319.35 ,$129.98 ,$356.24 ,$151.60 ,$31.19 ,$53.64 ,$530.05 ,$185.89 ,$128.60 ,$245.03 ,$111.44 ,$172.50 
$13.53 ,$110.97 ,$57.24 ,$79.82 ,$151.15 ,$184.82 ,$206.32 ,$42.37 ,$315.29 ,$125.49 ,$349.09 ,$149.88 ,$30.04 ,$52.27 ,$517.44 ,$181.24 ,$127.63 ,$242.05 ,$109.86 ,$172.94 
$13.46 ,$112.08 ,$58.74 ,$79.73 ,$150.23 ,$181.33 ,$210.80 ,$43.62 ,$319.21 ,$128.59 ,$345.70 ,$148.83 ,$30.80 ,$53.44 ,$515.16 ,$182.99 ,$126.76 ,$241.22 ,$112.05 ,$173.89 
$13.56 ,$113.06 ,$58.60 ,$79.20 ,$148 ,$180.03 ,$210.99 ,$44.28 ,$312.10 ,$131.19 ,$347.42 ,$147.77 ,$31.30 ,$52.83 ,$512.11 ,$184.09 ,$127.15 ,$241.68 ,$111.45 ,$172.78 
$13.65 ,$112.91 ,$58.68 ,$79.89 ,$148.50 ,$178.33 ,$210.14 ,$43.91 ,$306.69 ,$129.24 ,$347.20 ,$144.88 ,$31.45 ,$52.99 ,$511.73 ,$184.99 ,$128.74 ,$241.73 ,$113.23 ,$172.69 
$13.85 ,$114.13 ,$59.69 ,$79.18 ,$147.44 ,$177.19 ,$209.99 ,$43.93 ,$305.17 ,$134.09 ,$354.89 ,$145 ,$32.94 ,$54.67 ,$524.42 ,$188.05 ,$131.22 ,$241.97 ,$117.08 ,$175.35 
$13.86 ,$113.37 ,$58.39 ,$78.53 ,$138.39 ,$176.73 ,$206.86 ,$43 ,$306.85 ,$133.03 ,$358.11 ,$145.46 ,$32.50 ,$54.07 ,$513.22 ,$186.55 ,$131.03 ,$241.55 ,$114.22 ,$173.55 
$13.92 ,$113.95 ,$58.05 ,$77.74 ,$142.58 ,$178.05 ,$205 ,$43.32 ,$303.82 ,$133.96 ,$349.31 ,$146.19 ,$32.88 ,$54.82 ,$518.09 ,$186.46 ,$132.98 ,$247.11 ,$113.02 ,$177.49 
$13.89 ,$110.50 ,$54.44 ,$77.17 ,$142.36 ,$181.70 ,$205.57 ,$41.05 ,$323.34 ,$129.46 ,$344.91 ,$150.45 ,$31.60 ,$53.10 ,$506.57 ,$181.30 ,$129.15 ,$242.98 ,$111.87 ,$177.58 
$13.23 ,$108.90 ,$52.10 ,$75.66 ,$139.47 ,$178.55 ,$193.93 ,$39.95 ,$324.99 ,$125.26 ,$317.68 ,$148.64 ,$30.63 ,$53.07 ,$469.47 ,$177.93 ,$123.83 ,$224.51 ,$101.47 ,$168.74 
$13.53 ,$114 ,$53.35 ,$75.64 ,$142.79 ,$180.71 ,$201.78 ,$40.66 ,$327.74 ,$134.44 ,$327.83 ,$149.90 ,$32.73 ,$54.69 ,$482.11 ,$185.34 ,$125.35 ,$228.87 ,$96.47 ,$169.62 
$13.64 ,$113.64 ,$52.79 ,$76.74 ,$142.45 ,$180.21 ,$200.10 ,$40.70 ,$324.37 ,$134.94 ,$322.99 ,$149.78 ,$33.03 ,$54.81 ,$475.22 ,$185.61 ,$124.68 ,$227.87 ,$96.72 ,$164.91 
$13.37 ,$112.31 ,$53.04 ,$76 ,$140.97 ,$178.78 ,$196.98 ,$40.24 ,$322.13 ,$132.32 ,$323.87 ,$148.83 ,$32.03 ,$53.10 ,$465.30 ,$183.42 ,$124.84 ,$221.39 ,$90.79 ,$160.01 
$12.81 ,$111.10 ,$48.33 ,$75.03 ,$140.72 ,$177.78 ,$194.75 ,$37.85 ,$324.24 ,$133.82 ,$316.33 ,$148.17 ,$31.42 ,$51.80 ,$444.12 ,$181.13 ,$122.85 ,$214.25 ,$88.91 ,$156.75 
$12.73 ,$109.61 ,$48.07 ,$75.12 ,$140.75 ,$178.24 ,$200.95 ,$38.18 ,$320.86 ,$126.51 ,$309.45 ,$150.02 ,$29.76 ,$51.14 ,$456.03 ,$178.50 ,$122.86 ,$220.10 ,$90.54 ,$147.41 
$12.90 ,$111.91 ,$49.60 ,$77.11 ,$141.69 ,$180.76 ,$206.93 ,$38.64 ,$325.12 ,$127.78 ,$321.20 ,$152.28 ,$30.93 ,$51.55 ,$467.90 ,$182.22 ,$125.30 ,$228.17 ,$95.20 ,$143.38 
$13.42 ,$110.81 ,$47.82 ,$78.07 ,$142.33 ,$181.58 ,$207.16 ,$38.01 ,$323.06 ,$126.09 ,$315.71 ,$151.56 ,$30.45 ,$52.03 ,$470.12 ,$180.90 ,$125.79 ,$232.13 ,$93.16 ,$142.51 
$13.90 ,$110.70 ,$47.53 ,$77.36 ,$142.51 ,$182.23 ,$209.34 ,$37.09 ,$324.76 ,$127.17 ,$309.59 ,$151 ,$30.16 ,$50.45 ,$472.90 ,$179.98 ,$126.60 ,$235.87 ,$99.20 ,$143.84 
$14.61 ,$107.55 ,$49.90 ,$75.15 ,$140.73 ,$178.88 ,$204.29 ,$35.05 ,$316.58 ,$126.64 ,$298.57 ,$140.63 ,$30.52 ,$51.68 ,$455.40 ,$177.90 ,$122.80 ,$226.75 ,$97.94 ,$139.76 
$14.59 ,$107.14 ,$51.06 ,$74.82 ,$141.14 ,$179.07 ,$203.33 ,$35.47 ,$314.95 ,$126.57 ,$296.23 ,$140.84 ,$30.18 ,$52.18 ,$461.18 ,$177.09 ,$122.70 ,$231.32 ,$129.82 ,$133.79 
$14.66 ,$105.88 ,$49.67 ,$73.14 ,$140.07 ,$178.27 ,$194.38 ,$34.77 ,$310.92 ,$123.94 ,$294.94 ,$140.63 ,$29.65 ,$52.47 ,$460.07 ,$174.93 ,$118.50 ,$250.66 ,$137.51 ,$146.65 
$14.60 ,$106.60 ,$49.01 ,$72.92 ,$139.41 ,$177.68 ,$190.71 ,$35.05 ,$306.95 ,$125.14 ,$290.73 ,$139.32 ,$29.47 ,$52.15 ,$456.52 ,$173.13 ,$118.38 ,$247.25 ,$129.72 ,$142.05 
$14.30 ,$105.86 ,$50.26 ,$72.70 ,$136.80 ,$173.06 ,$190.37 ,$39.07 ,$301.34 ,$124.49 ,$284.68 ,$136.46 ,$29.15 ,$50.41 ,$449.73 ,$173.19 ,$116.81 ,$242.12 ,$130.01 ,$141.32 
$13.69 ,$103.93 ,$48.25 ,$69.25 ,$134.09 ,$171.46 ,$187.22 ,$37.59 ,$294.31 ,$121.81 ,$275.38 ,$136.02 ,$28.23 ,$45.69 ,$430.30 ,$168.96 ,$113.11 ,$236.15 ,$131.53 ,$139.13 
$13.62 ,$103.79 ,$48.57 ,$66.30 ,$133.76 ,$173.36 ,$186.41 ,$35.60 ,$293.08 ,$121.11 ,$286.85 ,$135.74 ,$28.35 ,$45.47 ,$435.30 ,$168 ,$114.20 ,$236.48 ,$133.23 ,$138.39 
$14.36 ,$100.80 ,$49.29 ,$67.03 ,$134.14 ,$175.06 ,$187.17 ,$35.85 ,$293.74 ,$117.89 ,$295.37 ,$136.16 ,$27.56 ,$43.36 ,$434.83 ,$162.72 ,$115.95 ,$238.50 ,$132.80 ,$137.34 
$14.30 ,$100.62 ,$49.81 ,$67.02 ,$131.37 ,$172.73 ,$185.25 ,$35.69 ,$289.92 ,$118.36 ,$287.84 ,$133.84 ,$27.14 ,$42.86 ,$435.37 ,$161.31 ,$113.86 ,$237.53 ,$134.04 ,$136.09 
$14.33 ,$99.19 ,$48.31 ,$64.31 ,$130.43 ,$170.19 ,$182.62 ,$35.22 ,$295.30 ,$117.96 ,$277 ,$131.52 ,$27.05 ,$42.16 ,$427.10 ,$160.14 ,$113.63 ,$228.56 ,$126.76 ,$133.15 
$14.38 ,$101.87 ,$50.24 ,$65.20 ,$132.28 ,$174.61 ,$184.66 ,$35.75 ,$297.64 ,$122.74 ,$283.35 ,$133.08 ,$28.33 ,$44.19 ,$437.97 ,$165.28 ,$114.26 ,$234.24 ,$130.29 ,$132.40 
$14.03 ,$98.43 ,$49.14 ,$63.78 ,$131.17 ,$169.39 ,$178.24 ,$36.50 ,$288.36 ,$116.30 ,$276.58 ,$132.94 ,$27.44 ,$42.02 ,$430.57 ,$157.64 ,$108.95 ,$225.75 ,$127.50 ,$130.42 
$13.83 ,$98 ,$50.13 ,$62.41 ,$132.67 ,$162.59 ,$179.14 ,$36.36 ,$290.95 ,$115.58 ,$277.76 ,$137.15 ,$27.04 ,$41.76 ,$430.76 ,$157.17 ,$108.84 ,$225.41 ,$128.54 ,$131.57 
$13.71 ,$98.84 ,$51.22 ,$62.57 ,$129.32 ,$161.82 ,$182.18 ,$39.29 ,$285.73 ,$116.80 ,$282.02 ,$137.73 ,$27.52 ,$42.13 ,$437.70 ,$157.14 ,$108.46 ,$229.25 ,$133.79 ,$131.90 
$13.56 ,$101.03 ,$51.18 ,$63.29 ,$128.56 ,$161.61 ,$183.83 ,$42.50 ,$288.38 ,$118.51 ,$284.52 ,$137.59 ,$27.94 ,$42.59 ,$460.48 ,$160.03 ,$107.52 ,$234.24 ,$133.45 ,$129.79 
$13.65 ,$102.06 ,$51.57 ,$65.30 ,$131.68 ,$162.80 ,$185.59 ,$43.07 ,$293.08 ,$117.65 ,$293.58 ,$139.42 ,$28.25 ,$42.49 ,$479.50 ,$161.42 ,$111.12 ,$246.79 ,$139.07 ,$132.20 
$13.49 ,$99.12 ,$52.59 ,$66.64 ,$132.92 ,$166 ,$187.67 ,$42.62 ,$294.03 ,$115.93 ,$293.88 ,$141.23 ,$27.19 ,$41.57 ,$484.80 ,$158.53 ,$115.17 ,$249.20 ,$138.98 ,$132.11 
$13.41 ,$95.27 ,$53.23 ,$65.69 ,$134.25 ,$167.11 ,$185.65 ,$42 ,$293.02 ,$115.62 ,$294.26 ,$142.54 ,$26.50 ,$39.12 ,$479.86 ,$157.63 ,$115.62 ,$248.88 ,$140.28 ,$133.51 
$12.91 ,$91.92 ,$51.66 ,$63.08 ,$132.53 ,$165.25 ,$181.65 ,$38.60 ,$287.22 ,$109.97 ,$281.61 ,$138.90 ,$24.97 ,$38.30 ,$456.78 ,$151.73 ,$113.22 ,$240.74 ,$138.61 ,$126.05 
$12.30 ,$87.31 ,$50.04 ,$61.07 ,$129.70 ,$163.26 ,$177.65 ,$37.52 ,$277.47 ,$102.34 ,$270.12 ,$134.17 ,$22.58 ,$35.90 ,$444.01 ,$143.67 ,$110.50 ,$232.90 ,$135.68 ,$121.08 
$12.32 ,$88.68 ,$50.42 ,$61.40 ,$132.25 ,$166.61 ,$180.06 ,$38.53 ,$280.56 ,$103.66 ,$270.15 ,$134.64 ,$22.80 ,$35.97 ,$450.13 ,$144.77 ,$112.30 ,$237.50 ,$136.41 ,$125.33 
$12.20 ,$88.86 ,$50.13 ,$63.07 ,$133.11 ,$168.67 ,$179.18 ,$39.71 ,$282.55 ,$103 ,$277.02 ,$135.52 ,$22.67 ,$35.44 ,$465.96 ,$145.78 ,$114.28 ,$241.07 ,$141.61 ,$133.44 
$11.95 ,$85.74 ,$48.50 ,$62.42 ,$130.95 ,$166.01 ,$177.87 ,$39.72 ,$277.62 ,$98.76 ,$264.45 ,$132.68 ,$21.39 ,$33.98 ,$464.75 ,$141.02 ,$112.41 ,$236.41 ,$134.40 ,$127.51 
$11.76 ,$83.98 ,$47.47 ,$63.45 ,$131.31 ,$168.45 ,$180.59 ,$39.66 ,$276.80 ,$99.20 ,$260.01 ,$132.32 ,$21.09 ,$33.86 ,$462.26 ,$140.96 ,$113 ,$237.45 ,$136.37 ,$127.34 
$11.94 ,$85.75 ,$48.87 ,$64.55 ,$130.06 ,$168.52 ,$183.96 ,$35.47 ,$277.77 ,$100.59 ,$263.37 ,$132.33 ,$21.90 ,$35 ,$468.68 ,$144.77 ,$112.99 ,$237.92 ,$140.41 ,$131.26 
